year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2020,3.202143404,MNG,0.04297384951690137,0.057040624739008707,0.34966605024005065
2021,3.2427045228,MNG,0.04357548341013799,0.05783919348535483,0.3545613749434114
2022,3.2832656416,MNG,0.04418554017787992,0.058648942194149796,0.35952523419261917
2023,3.3238267604000002,MNG,0.04480413774037024,0.059470027384867896,0.36455858747131586
2024,3.3643878792,MNG,0.04543139566873542,0.06030260776825605,0.3696624076959143
2025,3.404948998,MNG,0.046067435208097716,0.061146844277011635,0.3748376814036571
2026,3.440486545,MNG,0.04671237930101108,0.0620029000968898,0.3800854089433083
2027,3.4760240920000003,MNG,0.04736635261122524,0.06287094069824625,0.3854066046685146
2028,3.511561639,MNG,0.048029481547782395,0.0637511338680217,0.3908022971338738
2029,3.547099186,MNG,0.04870189428945135,0.064643649742174,0.39627352929374804
2030,3.582636733,MNG,0.049383720809503664,0.06554866083856443,0.40182135870386054
2031,3.6155818268,MNG,0.05007509290083672,0.06646634209030433,0.4074468577257146
2032,3.6485269206,MNG,0.05077614420144844,0.0673968708795686,0.4131511137338746
2033,3.6814720144,MNG,0.05148701022026871,0.06834042707188255,0.41893522932614885
2034,3.7144171082,MNG,0.05220782836335248,0.06929719305088891,0.42480032253671496
2035,3.747362202,MNG,0.052938737960439415,0.07026735375360135,0.43074752705222896
2036,3.7815695048,MNG,0.05367988029188557,0.07125109670615178,0.43677799243096016
2037,3.8157768076000003,MNG,0.05443139861597197,0.0722486120600379,0.44289288432499363
2038,3.8499841104,MNG,0.05519343819659558,0.07326009262887842,0.44909338470554355
2039,3.8841914132,MNG,0.055966146331347916,0.07428573392568272,0.4553806920914212
2040,3.918398716,MNG,0.056749672379986786,0.07532573420064227,0.4617560217807011
2041,3.9537903176,MNG,0.0575441677933066,0.07638029447945126,0.4682206060856309
2042,3.9891819192,MNG,0.058349786142412895,0.07744961860216358,0.4747756945708297
2043,4.0245735208,MNG,0.059166683148406674,0.07853391326259387,0.4814225542948213
2044,4.0599651224,MNG,0.05999501671248437,0.07963338804827019,0.4881624700549488
2045,4.095356724,MNG,0.06083494694645915,0.08074825548094598,0.4949967446357181
2046,4.1289159832,MNG,0.06168663620370958,0.08187873105767923,0.5019266990606182
2047,4.1624752424,MNG,0.06255024911056152,0.08302503329248674,0.5089536728474668
2048,4.1960345016,MNG,0.06342595259810939,0.08418738375858156,0.5160790242673314
2049,4.2295937608,MNG,0.06431391593448292,0.08536600713120171,0.523304130607074
2050,4.26315302,MNG,0.06521431075756569,0.08656113123103854,0.5306303884355731
2051,4.2921013896,MNG,0.0661273111081716,0.08777298706827308,0.5380592138736711
2052,4.3210497592,MNG,0.06705309346368601,0.0890018088872289,0.5455920428679024
2053,4.349998128799999,MNG,0.06799183677217761,0.09024783421165011,0.553230331468053
2054,4.3789464983999995,MNG,0.0689437224869881,0.09151130389061321,0.5609755561086057
2055,4.407894868,MNG,0.06990893460180593,0.0927924621450818,0.5688292138941262
2056,4.4329364799999995,MNG,0.07088765968623122,0.09409155661511294,0.576792822888644
2057,4.457978091999999,MNG,0.07188008692183845,0.09540883840772452,0.584867922409085
2058,4.483019704,MNG,0.07288640813874418,0.09674456214543266,0.5930560733228122
2059,4.508061316,MNG,0.0739068178526866,0.09809898601546872,0.6013588583493316
2060,4.533102928,MNG,0.07494151330262422,0.09947237181968528,0.6097778823662222
2061,4.556593127,MNG,0.07599069448886096,0.10086498502516088,0.6183147727193493
2062,4.5800833260000005,MNG,0.07705456421170502,0.10227709481551313,0.6269711795374202
2063,4.603573525,MNG,0.07813332811066889,0.10370897414293032,0.6357487760509442
2064,4.627063724,MNG,0.07922719470421825,0.10516089978093134,0.6446492589156574
2065,4.650553923,MNG,0.08033637543007731,0.10663315237786437,0.6536743485404766
2066,4.6753002038,MNG,0.08146108468609839,0.10812601651115447,0.6628257894200432
2067,4.7000464846000005,MNG,0.08260153987170377,0.10963978074231064,0.6721053504719239
2068,4.7247927654,MNG,0.08375796142990762,0.11117473767270299,0.6815148253785308
2069,4.749539046200001,MNG,0.08493057288992632,0.11273118400012083,0.6910560329338302
2070,4.774285327,MNG,0.0861196009103853,0.11430942057612252,0.7007308173949038
2071,4.8006731578,MNG,0.0873252753231307,0.11590975246418823,0.7105410488384325
2072,4.8270609886,MNG,0.08854782917765452,0.11753248899868687,0.7204886235221706
2073,4.8534488194,MNG,0.08978749878614169,0.1191779438446685,0.730575464251481
2074,4.8798366502,MNG,0.09104452376914768,0.12084643505849385,0.7408035207510018
2075,4.906224481,MNG,0.09231914710191574,0.12253828514931277,0.7511747700415158
2076,4.9322453059999996,MNG,0.09361161516134256,0.12425382114140315,0.7616912168220971
2077,4.958266130999999,MNG,0.09492217777360136,0.1259933746373828,0.7723548938576065
2078,4.984286956,MNG,0.09625108826243178,0.12775728188230617,0.783167862371613
2079,5.010307781,MNG,0.09759860349810583,0.12954588382865845,0.7941322124448156
